ID,CO Abbrev.,Name/Description,Data Source,Data Type,Time Step,Units,Start,End,Meas. Count,Div.,Dist.,County,State,HUC,Longtitude,Latitude,UTM X,UTM Y,Data Store/Input Type
CLACANCO,CLACANCO,FT. COL. CA. AT CACHE LA POUDRE R. NR.,DWR,Streamflow,Day,CFS,1963,1986,7306,1,3,LARIMER,CO,10190007,-105.24748,40.701926,479093.1,4505698.3,HydroBase
ES1904,HSCCLPCO,HANSEN SUPPLY CANAL TO CACHE LA POUDRE RIVER NEAR FORT COLLINS,DWR,Streamflow,Day,CFS,1951,1999,17529,1,3,LARIMER,CO,10190007,-105.209715,40.658867,482272,4500910.3,HydroBase
NOPCANCO,NOPCANCO,N. POUDRE CA. AT CACHE LA POUDRE R. NR.,DWR,Streamflow,Day,CFS,1966,1986,6940,1,3,LARIMER,CO,10190007,-105.276657,40.833308,476674.2,4520289.8,HydroBase
POVCANCO,POVCANCO,POUDRE VAL. CA. AT CACHE LA POUDRE R.,DWR,Streamflow,Day,CFS,1966,1986,6940,1,3,LARIMER,CO,10190007,-105.22471,40.668037,481007,4501931.4,HydroBase
6747500,CLARUSCO,"CACHE LA POUDRE RIVER NEAR RUSTIC, CO.",USGS,Streamflow,Day,CFS,1956,1968,4413,1,3,LARIMER,CO,10190007,-105.69028,40.695536,441679.8,4505188.6,HydroBase
6748000,CLALOGCO,"CACHE LA POUDRE RIVER NEAR LOG CABIN, CO.",USGS,Streamflow,Day,CFS,1909,1931,1947,1,3,LARIMER,CO,10190007,-105.572219,40.699425,451657.4,4505548.6,HydroBase
6748500,CLAEGGCO,"SOUTH FORK CACHE LA POUDRE RIVER NR EGGERS, CO.",USGS,Streamflow,Day,CFS,1929,1931,852,1,3,LARIMER,CO,10190007,-105.525274,40.618037,455569.5,4496489.5,HydroBase
6748600,SCLARUCO,"SOUTH FORK CACHE LA POUDRE RIVER NR RUSTIC, CO.",USGS,Streamflow,Day,CFS,1956,1979,8461,1,3,LARIMER,CO,10190007,-105.493605,40.646926,458266.2,4499680.8,HydroBase
6749000,CLAELKCO,"CACHE LA POUDRE RIVER BELOW ELKHORN CREEK, CO.",USGS,Streamflow,Day,CFS,1946,1959,4901,1,3,LARIMER,CO,10190007,-105.433324,40.692204,463387.7,4504679.9,HydroBase
6751490,CLANLICO,"NORTH FORK CACHE LA POUDRE RIVER AT LIVERMORE, CO",USGS,Streamflow,Day,CFS,1986,2018,11548,1,3,LARIMER,CO,10190007,-105.252205,40.787482,478721.1,4515196.5,HydroBase
6751500,CLANNLCO,"N FORK CACHE LA POUDRE RIVER NEAR LIVERMORE, CO.",USGS,Streamflow,Day,CFS,1929,1965,7427,1,3,LARIMER,CO,10190007,-105.234149,40.702759,480219.5,4505787.7,HydroBase
6752000,CLAFTCCO,"CACHE LA POUDRE RIV AT MO OF CN, NR FT COLLINS, CO",DWR,Streamflow,Day,CFS,1881,2017,48121,1,3,LARIMER,CO,10190007,-105.224188,40.66451,481050.9,4501539,HydroBase
6752260,CLAFORCO,"CACHE LA POUDRE RIVER AT FORT COLLINS, CO",USGS,Streamflow,Day,CFS,1975,2018,15719,1,3,LARIMER,CO,10190007,-105.069222,40.588083,494142,4493034,HydroBase
6752280,CLABOXCO,"CACHE LA POUDRE RIV AB BOXELDER CRK NR TIMNATH, CO",USGS,Streamflow,Day,CFS,1979,2018,14105,1,3,LARIMER,CO,10190007,-105.011365,40.551927,499037.7,4489018.7,HydroBase
9010000,GRNDRDCO,GRAND RIVER DITCH AT LA POUDRE PASS,DWR,Streamflow,Day,CFS,1929,2017,27809,1,3,LARIMER,CO,14010001,-105.82207,40.477455,430319.8,4481075.5,HydroBase
6745000,CLACHACO,"CACHE LA POUDRE RIVER AB CHAMBERS LK OUTLET, CO.",USGS,Streamflow,Day,CFS,1929,1931,852,1,3,LARIMER,CO,10190007,-105.807508,40.634148,431712.8,4498458.6,HydroBase
6751150,NOCALACO,N FK CACHE LA POUDRE R BLW HALLIGAN RES NR VA DALE,USGS,Streamflow,Day,CFS,1998,2018,7348,1,3,LARIMER,CO,10190007,-105.338041,40.878316,471517.9,4525304.1,HydroBase
