FID,Join_Count,TARGET_FID,Id,river_sect,sect_no,featureID,linkDim,link,order_,Length,to,MusK,MusX,So,n,BtmWdth,ChSlp,Qi,gages,NHDWaterbo,lat,lon,alt,Kchan,ascendingI
0,1,0,0,POUDRE PARK PICNIC GOUND TO BELOW PINE VIEW FALLS,8,2899363,907429,2899363,5,2240,2899287,3600,0.200000003,0.01,0.050000001,10.94499969,0.050000001,0,,-9999,40.68989944,-105.2929993,1720.609985,0,2081756
1,2,1,0,BELOW FILTER PLANT TO PICNIC ROCK ACCESS,10,2899495,908352,2899495,6,1169,2900705,3600,0.200000003,0.01,0.050000001,12.71710014,0.050000001,0,,-9999,40.66930008,-105.2310028,1609.75,0,2054113
2,1,2,0,PINEVIEW FALLS TO BRIDGES TAKE-OUT,9,2899311,907698,2899311,5,1919,2900679,3600,0.200000003,0.01,0.050000001,10.94620037,0.050000001,0,,-9999,40.69639969,-105.2699966,1684.939941,0,2053931
3,1,3,0,MISHIWAKA INN TO POUDRE PARK,7,2899349,906971,2899349,5,3224,2899347,3600,0.200000003,0.012,0.050000001,10.93410015,0.050000001,0,,-9999,40.6916008,-105.3259964,1765.300049,0,2081689
4,1,4,0,STEVEN'S GULCH ACCESS TO MISHAWAKA INN,6,2899383,906483,2899383,5,2230,2899357,3600,0.200000003,0.01,0.050000001,10.89120007,0.050000001,0,,-9999,40.68460083,-105.3799973,1845.040039,0,2139169
5,1,5,0,NARROWS PICNIC GROUND TO STEVEN'S GULCH ACCESS,5,2899455,905957,2899455,5,1229,2899453,3600,0.200000003,0.012,0.050000001,10.87650013,0.050000001,0,,-9999,40.67670059,-105.4229965,1934,0,2111618
6,1,6,0,INDIAN MEADOWS BRIDGE TO NARROWS PICNIC GROUND,4,2899449,905193,2899449,4,3772,2899367,3600,0.200000003,0.013,0.055,9.564189911,0.050000001,0,,-9999,40.68330002,-105.4629974,2050.580078,0,2096420
7,1,7,0,HOME MORAINE TO INDIAN MEADOWS BRIDGE,3,2899245,903548,2899245,4,981,2899291,3600,0.200000003,0.009,0.055,9.531559944,0.050000001,0,,-9999,40.69829941,-105.5319977,2131.23999,0,2052678
8,1,8,0,BIG SOUTH CAMPGROUND TO TUNNEL PICNIC GROUND,2,2899481,893039,2899481,4,2577,2899435,3600,0.200000003,0.017999999,0.055,8.663100243,0.050000001,0,,-9999,40.67010117,-105.7939987,2447.280029,0,767398
9,1,9,0,LONG DRAW RESERVOIR TO BIG SOUTH CAMPGROUND,1,2900045,885448,2900045,4,2463,2899967,3600,0.200000003,0.016000001,0.055,6.596290112,0.050000001,0,,-9999,40.57310104,-105.7979965,2827.629883,0,2606606
